procedure_name,is_mandatory,procedure_description,procedure_id,parameter_mapping
Embryo LacZ,FALSE,embryo_lacz,11,
Experimental design,FALSE,experimental_design,12,
Eye Morphology,TRUE,To detect abnormalities in eye morphology.,13,
Fear Conditioning,FALSE,Fear Conditioning test assesses aversive learning and memory,14,
Fertility of Homozygous Knock-out Mice,TRUE,To assess the fertility of homozygous knockout mice.,15,
Formalin Test,FALSE,formalin_test,16,
Grip Strength,TRUE,"The grip strength test is used to measure the neuromuscular function as maximal muscle strength of forelimbs and combined forelimbs and hind limbs. These are assessed by the grasping applied by the mouse on a grid that is connected to a sensor. Three trials are carried out in succession measuring forelimb-strength only, followed by three successive trials measuring the combined forelimb/hindlimb grip strength. All grip strength values obtained are normalized against mouse body weight.Ontological description: MP:0001515 - abnormal grip strength.",17,
Gross Morphology Embryo E12.5,FALSE,gross_morphology_embryo_e12.5,18,
Gross Morphology Embryo E14.5-E15.5,FALSE,gross_morphology_embryo_e14.5-e15.5,19,
Gross Morphology Embryo E18.5,FALSE,gross_morphology_embryo_e18.5,20,
Gross Morphology Embryo E9.5,FALSE,gross_morphology_embryo_e9.5,21,
Gross Morphology Placenta E12.5,FALSE,gross_morphology_placenta_e12.5,22,
Gross Morphology Placenta E14.5-E15.5,FALSE,gross_morphology_placenta_e14.5-e15.5,23,
Gross Morphology Placenta E18.5,FALSE,gross_morphology_placenta_e18.5,24,
Gross Morphology Placenta E9.5,FALSE,gross_morphology_placenta_e9.5,25,
Gross Pathology and Tissue Collection,TRUE,"To perform a complete necropsy to detect and record abnormal external findings and macroscopic alterations in internal and external organs, record body and heart weights (see IMPC Heart Weight SOP), and collect a standardized list of tissues for fixation with or without further processing (see non-mandatory IMPC Tissue Embedding & Block Banking SOP).",26,
Heart Weight,TRUE,To evaluate cardiac size using heart weight and body weight.,27,
Hematology,TRUE,"Hematological assessment of blood determines blood cell counts (white blood cells, red blood cells, hemoglobin, and platelets) and additional hematological parameters (hematocrit, mean cell volume, mean corpuscular hemoglobin, mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs. Ontological description: MP:0002429 - abnormal blood cell morphology/development.",28,
Histopathology,FALSE,histopathology,29,
Housing and Husbandry,FALSE,housing_and_husbandry,30,
Immunophenotyping,TRUE,Immunophenotyping of immune system cells,31,
Indirect Calorimetry,FALSE,"Indirect calorimetry provides detailed information on the energy metabolism of mutant mice. Energy expenditure is evaluated through indirect calorimetry by measuring oxygen consumption with an open flow respirometric system. CO2 and O2 sensors measure the difference in CO2 and O2 concentrations in air volumes flowing through control or animal cages. The amount of oxygen consumed over a given period of time can thus be calculated, as far as the air flow through the cage is known. Data are expressed as ml O2 h-1animal-1. The system also monitors CO2 production, therefore, the respiratory exchange ratio (RER) and heat production can be calculated. An activity and food and water intake monitoring system can also be integrated into the set up in order to investigate circadian pattern and behaviour.Ontological description: MP:0005266 - abnormal metabolism.",32,
Insulin Blood Level,FALSE,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,33,
Intraperitoneal glucose tolerance test (IPGTT),TRUE,"The glucose tolerance test measures the clearance of an intraperitoneally injected glucose load from the body. It is used to detect disturbances in glucose metabolism that can be linked to human conditions such as diabetes or metabolic syndrome. Animals are fasted for approximately 16 hours, fasted blood glucose levels are determined before a solution of glucose is administered by intra-peritoneal (IP) injection. Subsequently, the blood glucose level is measured at different time points during the following 2 hours.Ontological description: MP:0005559 - increased circulating glucose level, MP:0005560 - decreased circulating glucose level, MP:0005293 - impaired glucose tolerance, MP:0005292 - improved glucose tolerance, MP:0005291           abnormal glucose tolerance, MP:0000188 - abnormal circulating glucose level.",34,
Light-Dark Test,FALSE,Light-Dark test monitors the anxiety-related behaviour of mice,35,
MicroCT E14.5-E15.5,FALSE,microct_e14.5-e15.5,36,
MicroCT E14.5-E15.5 Analysis,FALSE,microct_e14.5-e15.5_analysis,37,
MicroCT E18.5,FALSE,microct_e18.5,38,
MicroCT E9.5,FALSE,microct_e9.5,39,
OPT E9.5,FALSE,opt_e9.5,40,
Open Field,TRUE,The Open Field test is used to assess anxiety and exploratory behaviors. It is based on the natural tendency of an animal to explore and to protect itself using avoidance which translates to a normal animal spending more time in the periphery of the Open Field arena than in the center (the most anxiogenic area).,41,
Organ Weight,FALSE,Organ weights from different tissues collected for IMPC,42,
Tissue Embedding and Block Banking,FALSE,Collect and fix a standard list of tissues from the complete necropsy (see IMPC Gross Pathology & Tissue Collection SOP)Trim the fixed tissues into cassettes for processingEmbed the tissues in paraffin in a standard orientation,43,
Viability E12.5 Secondary Screen,FALSE,viability_e12.5_secondary_screen,44,
Viability E14.5-E15.5 Secondary Screen,FALSE,viability_e14.5-e15.5_secondary_screen,45,
Viability E18.5 Secondary Screen,FALSE,viability_e18.5_secondary_screen,46,
Viability E9.5 Secondary Screen,FALSE,viability_e9.5_secondary_screen,47,
Viability Primary Screen,TRUE,Assess the viability of mutant mice of each sex and zygosity.,48,
Welfare Observations,FALSE,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,49,
X-ray,TRUE,Construct and analyse digital X-ray images in immobilised mice using a Faxitron X-Ray system or NTB digital X-ray scanner.,50,
Y-maze,FALSE,Y-maze assesses learning and memory; it can be used instead/in parallel of Fear Conditioning,51,
